,GDP_Growth_Pct,Consumption_Growth_Pct,Investment_Growth_Pct,Government_Growth_Pct,Exports_Growth_Pct,Imports_Growth_Pct,Domestic_Demand_Growth_Pct,Rate,FX,FX_Change_Pct
GDP_Growth_Pct,1.0,0.9954022128601058,0.9635301873602886,-0.2745863380870842,0.9662504479428861,0.8505758359330894,0.9908051871992073,0.1600732707756394,0.00976985523286753,-0.09414191121081857
Consumption_Growth_Pct,0.9954022128601058,1.0,0.9577602737790044,-0.23527659437377382,0.9685683577837012,0.8597830716397505,0.993074039529891,0.18065220355851103,-0.011110922417806385,-0.08272908268157987
Investment_Growth_Pct,0.9635301873602886,0.9577602737790044,1.0,-0.12919952248305305,0.9789350071590558,0.9189498030350637,0.9835264886047376,0.14812723754672125,0.0837956216956526,0.06868449283782974
Government_Growth_Pct,-0.2745863380870842,-0.23527659437377382,-0.12919952248305305,1.0,-0.13804586411806907,0.03689380346365938,-0.1663299429154015,0.3775497501444857,-0.4688313014051052,0.20394266646202194
Exports_Growth_Pct,0.9662504479428861,0.9685683577837012,0.9789350071590558,-0.13804586411806907,1.0,0.9392523712820858,0.981862570538158,0.07209739856372248,0.10989347823818903,0.01460612117300257
Imports_Growth_Pct,0.8505758359330894,0.8597830716397505,0.9189498030350637,0.03689380346365938,0.9392523712820858,1.0,0.8934531652538882,-0.05674657549483404,0.2523147885140702,0.1611573003318437
Domestic_Demand_Growth_Pct,0.9908051871992073,0.993074039529891,0.9835264886047376,-0.1663299429154015,0.981862570538158,0.8934531652538882,1.0,0.19036405910646262,0.0006942595780709303,-0.025418519281512633
Rate,0.1600732707756394,0.18065220355851103,0.14812723754672125,0.3775497501444857,0.07209739856372248,-0.05674657549483404,0.19036405910646262,1.0,-0.7434372884565366,0.11594393308797878
FX,0.00976985523286753,-0.011110922417806385,0.0837956216956526,-0.4688313014051052,0.10989347823818903,0.2523147885140702,0.0006942595780709303,-0.7434372884565366,1.0,0.36923487901532004
FX_Change_Pct,-0.09414191121081857,-0.08272908268157987,0.06868449283782974,0.20394266646202194,0.01460612117300257,0.1611573003318437,-0.025418519281512633,0.11594393308797878,0.36923487901532004,1.0
